ID,Palavra,Imagem,Audio
19725cdb,Golfinho,,Palavras_Files_/19725cdb.Audio.205149
440930aa,Goiaba,Palavras_Images/440930aa.Imagem.203111.png,Palavras_Files_/440930aa.Audio.205205
d76e8cbe,Golfe,,Palavras_Files_/d76e8cbe.Audio.205225
fa225834,Gostoso,,Palavras_Files_/fa225834.Audio.205254
20b68ecc,Gordura,Palavras_Images/20b68ecc.Imagem.141015.png,Palavras_Files_/20b68ecc.Audio.205322
663a1e3b,Galera,,Palavras_Files_/663a1e3b.Audio.205530
6368e6c3,Ganso,Palavras_Images/6368e6c3.Imagem.205053.png,Palavras_Files_/6368e6c3.Audio.205603
b66f7916,Gargalhada,,Palavras_Files_/b66f7916.Audio.205714
9e462cd2,Guerra,,Palavras_Files_/9e462cd2.Audio.205732
2f88f7a6,Regador,Palavras_Images/2f88f7a6.Imagem.045744.png,Palavras_Files_/2f88f7a6.Audio.224325
400bec64,Iguana,Palavras_Images/400bec64.Imagem.224337.png,Palavras_Files_/400bec64.Audio.210508
eb01e792,Caranguejo,,Palavras_Files_/eb01e792.Audio.184356
8493af4d,Tagarela,Palavras_Images/8493af4d.Imagem.015718.png,Palavras_Files_/8493af4d.Audio.002236
80ccd508,Mangueira,,Palavras_Files_/80ccd508.Audio.214846
785c8165,Migalhas,,Palavras_Files_/785c8165.Audio.214917
a8d9176d,Legumes,Palavras_Images/a8d9176d.Imagem.215722.png,Palavras_Files_/a8d9176d.Audio.170915
9794ee4a,Zagueiro,Palavras_Images/9794ee4a.Imagem.012840.png,Palavras_Files_/9794ee4a.Audio.005612
66b218a5,Bagunça,,Palavras_Files_/66b218a5.Audio.183101
b6cb98c3,Lagoa,,Palavras_Files_/b6cb98c3.Audio.170937
eb7235a7,Magoado,,Palavras_Files_/eb7235a7.Audio.214936
b1373ea7,Agulha,Palavras_Images/b1373ea7.Imagem.201751.png,Palavras_Files_/b1373ea7.Audio.052246
6cae8a30,Bagagem,,Palavras_Files_/6cae8a30.Audio.183123
a05cb76f,Madrugada,,Palavras_Files_/a05cb76f.Audio.214957
ac016fac,Lagartixa,,Palavras_Files_/ac016fac.Audio.171014
0b463aa4,Jogador,Palavras_Images/0b463aa4.Imagem.220815.png,Palavras_Files_/0b463aa4.Audio.164940
f81a1bb8,Jarra,Palavras_Images/f81a1bb8.Imagem.224417.png,Palavras_Files_/f81a1bb8.Audio.165004
8ae31d07,Jornal,Palavras_Images/8ae31d07.Imagem.231949.png,Palavras_Files_/8ae31d07.Audio.165020
f361872b,Jacaré,,Palavras_Files_/f361872b.Audio.165038
03e5e7df,Janela,Palavras_Images/03e5e7df.Imagem.224502.png,Palavras_Files_/03e5e7df.Audio.165059
a397e8b2,Jaqueta,,Palavras_Files_/a397e8b2.Audio.165122
f228b078,Joaninha,,Palavras_Files_/f228b078.Audio.165140
730736b5,Geléia,,Palavras_Files_/730736b5.Audio.165156
00e6de78,Geladeira,,Palavras_Files_/00e6de78.Audio.205751
295aec26,Gelo,,Palavras_Files_/295aec26.Audio.205834
c51c3529,Jardim,Palavras_Images/c51c3529.Imagem.020550.png,Palavras_Files_/c51c3529.Audio.165219
bb41ff9d,Jaca,,Palavras_Files_/bb41ff9d.Audio.165241
65141544,Jabuti,Palavras_Images/65141544.Imagem.012646.png,Palavras_Files_/65141544.Audio.165301
5806c58c,Jaula,Palavras_Images/5806c58c.Imagem.033532.png,Palavras_Files_/5806c58c.Audio.165324
fe3e1bef,Gema,,Palavras_Files_/fe3e1bef.Audio.205853
dd4b5f42,Jabuticaba,Palavras_Images/dd4b5f42.Imagem.203011.png,Palavras_Files_/dd4b5f42.Audio.165344
19d4ab48,Jibóia,,Palavras_Files_/19d4ab48.Audio.170203
044c07f4,Judô,,Palavras_Files_/044c07f4.Audio.170237
47bdb82b,Jato,,Palavras_Files_/47bdb82b.Audio.170313
f82e9ef6,Gesso,Palavras_Images/f82e9ef6.Imagem.044601.png,Palavras_Files_/f82e9ef6.Audio.170335
fb3b1b94,Javali,,Palavras_Files_/fb3b1b94.Audio.170417
864a5a2e,Junina,,Palavras_Files_/864a5a2e.Audio.170433
de20c23c,Girassol,,Palavras_Files_/de20c23c.Audio.170452
c90f7f06,Joelho,Palavras_Images/c90f7f06.Imagem.065210.png,Palavras_Files_/c90f7f06.Audio.170519
8c23e40e,Soja,Palavras_Images/8c23e40e.Imagem.033947.png,Palavras_Files_/8c23e40e.Audio.001434
9926277e,Laranja,,Palavras_Files_/9926277e.Audio.171044
8532cf8a,Loja,,Palavras_Files_/8532cf8a.Audio.171113
eb520f94,Azulejo,Palavras_Images/eb520f94.Imagem.021803.png,Palavras_Files_/eb520f94.Audio.062958
83e07a80,Abajur,Palavras_Images/83e07a80.Imagem.202328.png,Palavras_Files_/83e07a80.Audio.063102
253a7f40,Bocejo,,Palavras_Files_/253a7f40.Audio.183143
55b65411,Naja,Palavras_Images/55b65411.Imagem.225234.png,Palavras_Files_/55b65411.Audio.034048
a3609fc6,Ninjas,Palavras_Images/a3609fc6.Imagem.225305.png,Palavras_Files_/a3609fc6.Audio.034155
da1a828d,Igreja,Palavras_Images/da1a828d.Imagem.234116.png,Palavras_Files_/da1a828d.Audio.210545
50b87c6c,Viagem,,Palavras_Files_/50b87c6c.Audio.003642
e198245f,Beijo,,Palavras_Files_/e198245f.Audio.183159
34b7fb79,Sujo,Palavras_Images/34b7fb79.Imagem.225711.png,Palavras_Files_/34b7fb79.Audio.001449
ab8153f9,Anjo,,Palavras_Files_/ab8153f9.Audio.063139
3cab219f,Banjo,,Palavras_Files_/3cab219f.Audio.183218
ce794cb3,Botijão,,Palavras_Files_/ce794cb3.Audio.183235
56daa673,Atingir,Palavras_Images/56daa673.Imagem.180803.png,Palavras_Files_/56daa673.Audio.063216
57c47008,Cacarejar,,Palavras_Files_/57c47008.Audio.184413
053f0bcf,Ferrugem,,Palavras_Files_/053f0bcf.Audio.203523
64d296e7,Franja,,Palavras_Files_/64d296e7.Audio.203541
773194d6,Esponja,Palavras_Images/773194d6.Imagem.153020.png,Palavras_Files_/773194d6.Audio.201505
cbd7dd9c,Granja,,Palavras_Files_/cbd7dd9c.Audio.205911
7ff710f2,Hoje,Palavras_Images/7ff710f2.Imagem.201632.png,Palavras_Files_/7ff710f2.Audio.205037
49daaaf0,Traje,,Palavras_Files_/49daaaf0.Audio.002304
ea46ed3f,Mugir,,
6706ea91,Manjar,,Palavras_Files_/6706ea91.Audio.215320
5eef270a,Manjericão,Palavras_Images/5eef270a.Imagem.050338.png,Palavras_Files_/5eef270a.Audio.215355
73756425,Mágico,Palavras_Images/73756425.Imagem.225017.png,Palavras_Files_/73756425.Audio.215515
